GEOID,NAME,variable,estimate,moe,year,label_short
2502702760,Auburn,B08301_003,7368,372,2010,"Car, truck, or van - Drove alone"
2502702760,Auburn,B08301_004,501,153,2010,"Car, truck, or van - Carpooled"
2502702760,Auburn,B08301_010,47,34,2010,Public transportation (excluding taxicab)
2502702760,Auburn,B08301_016,0,127,2010,Taxicab
2502702760,Auburn,B08301_017,0,127,2010,Motorcycle
2502702760,Auburn,B08301_018,0,127,2010,Bicycle
2502702760,Auburn,B08301_019,131,61,2010,Walked
2502702760,Auburn,B08301_020,63,58,2010,Other means
2502702760,Auburn,B08301_021,194,84,2010,Worked from home
2502702760,Auburn,B08301_003,7220,388,2011,"Car, truck, or van - Drove alone"
2502702760,Auburn,B08301_004,552,143,2011,"Car, truck, or van - Carpooled"
2502702760,Auburn,B08301_010,35,30,2011,Public transportation (excluding taxicab)
2502702760,Auburn,B08301_016,0,95,2011,Taxicab
2502702760,Auburn,B08301_017,0,95,2011,Motorcycle
2502702760,Auburn,B08301_018,0,95,2011,Bicycle
2502702760,Auburn,B08301_019,146,68,2011,Walked
2502702760,Auburn,B08301_020,82,64,2011,Other means
2502702760,Auburn,B08301_021,186,80,2011,Worked from home
2502702760,Auburn,B08301_003,7394,355,2012,"Car, truck, or van - Drove alone"
2502702760,Auburn,B08301_004,595,130,2012,"Car, truck, or van - Carpooled"
2502702760,Auburn,B08301_010,39,28,2012,Public transportation (excluding taxicab)
2502702760,Auburn,B08301_016,0,19,2012,Taxicab
2502702760,Auburn,B08301_017,0,19,2012,Motorcycle
2502702760,Auburn,B08301_018,0,19,2012,Bicycle
2502702760,Auburn,B08301_019,140,66,2012,Walked
2502702760,Auburn,B08301_020,93,78,2012,Other means
2502702760,Auburn,B08301_021,172,76,2012,Worked from home
2502702760,Auburn,B08301_003,7436,337,2013,"Car, truck, or van - Drove alone"
2502702760,Auburn,B08301_004,522,143,2013,"Car, truck, or van - Carpooled"
2502702760,Auburn,B08301_010,54,42,2013,Public transportation (excluding taxicab)
2502702760,Auburn,B08301_016,0,19,2013,Taxicab
2502702760,Auburn,B08301_017,0,19,2013,Motorcycle
2502702760,Auburn,B08301_018,0,19,2013,Bicycle
2502702760,Auburn,B08301_019,121,59,2013,Walked
2502702760,Auburn,B08301_020,80,73,2013,Other means
2502702760,Auburn,B08301_021,210,94,2013,Worked from home
2502702760,Auburn,B08301_003,7422,391,2014,"Car, truck, or van - Drove alone"
2502702760,Auburn,B08301_004,492,115,2014,"Car, truck, or van - Carpooled"
2502702760,Auburn,B08301_010,48,33,2014,Public transportation (excluding taxicab)
2502702760,Auburn,B08301_016,0,19,2014,Taxicab
2502702760,Auburn,B08301_017,0,19,2014,Motorcycle
2502702760,Auburn,B08301_018,0,19,2014,Bicycle
2502702760,Auburn,B08301_019,61,38,2014,Walked
2502702760,Auburn,B08301_020,89,82,2014,Other means
2502702760,Auburn,B08301_021,264,105,2014,Worked from home
2502702760,Auburn,B08301_003,7454,329,2015,"Car, truck, or van - Drove alone"
2502702760,Auburn,B08301_004,436,123,2015,"Car, truck, or van - Carpooled"
2502702760,Auburn,B08301_010,82,57,2015,Public transportation (excluding taxicab)
2502702760,Auburn,B08301_016,0,19,2015,Taxicab
2502702760,Auburn,B08301_017,0,19,2015,Motorcycle
2502702760,Auburn,B08301_018,0,19,2015,Bicycle
2502702760,Auburn,B08301_019,30,22,2015,Walked
2502702760,Auburn,B08301_020,32,29,2015,Other means
2502702760,Auburn,B08301_021,262,92,2015,Worked from home
2502702760,Auburn,B08301_003,7393,331,2016,"Car, truck, or van - Drove alone"
2502702760,Auburn,B08301_004,451,130,2016,"Car, truck, or van - Carpooled"
2502702760,Auburn,B08301_010,85,61,2016,Public transportation (excluding taxicab)
2502702760,Auburn,B08301_016,0,19,2016,Taxicab
2502702760,Auburn,B08301_017,0,19,2016,Motorcycle
2502702760,Auburn,B08301_018,0,19,2016,Bicycle
