GEOID,NAME,variable,estimate,moe,year,label_short
2502702760,Auburn,B08303_002,224,94,2010,Less than 5 minutes
2502702760,Auburn,B08303_003,1110,216,2010,5 to 9 minutes
2502702760,Auburn,B08303_004,1113,206,2010,10 to 14 minutes
2502702760,Auburn,B08303_005,1044,161,2010,15 to 19 minutes
2502702760,Auburn,B08303_006,1320,230,2010,20 to 24 minutes
2502702760,Auburn,B08303_007,438,146,2010,25 to 29 minutes
2502702760,Auburn,B08303_008,1117,189,2010,30 to 34 minutes
2502702760,Auburn,B08303_009,345,162,2010,35 to 39 minutes
2502702760,Auburn,B08303_010,253,111,2010,40 to 44 minutes
2502702760,Auburn,B08303_011,648,189,2010,45 to 59 minutes
2502702760,Auburn,B08303_012,441,130,2010,60 to 89 minutes
2502702760,Auburn,B08303_013,57,41,2010,90 or more minutes
2502702760,Auburn,B08303_002,283,106,2011,Less than 5 minutes
2502702760,Auburn,B08303_003,1057,198,2011,5 to 9 minutes
2502702760,Auburn,B08303_004,1117,205,2011,10 to 14 minutes
2502702760,Auburn,B08303_005,1188,203,2011,15 to 19 minutes
2502702760,Auburn,B08303_006,1366,220,2011,20 to 24 minutes
2502702760,Auburn,B08303_007,329,99,2011,25 to 29 minutes
2502702760,Auburn,B08303_008,1022,197,2011,30 to 34 minutes
2502702760,Auburn,B08303_009,284,133,2011,35 to 39 minutes
2502702760,Auburn,B08303_010,241,102,2011,40 to 44 minutes
2502702760,Auburn,B08303_011,598,169,2011,45 to 59 minutes
2502702760,Auburn,B08303_012,459,148,2011,60 to 89 minutes
2502702760,Auburn,B08303_013,91,50,2011,90 or more minutes
2502702760,Auburn,B08303_002,252,83,2012,Less than 5 minutes
2502702760,Auburn,B08303_003,931,187,2012,5 to 9 minutes
2502702760,Auburn,B08303_004,1257,223,2012,10 to 14 minutes
2502702760,Auburn,B08303_005,1153,203,2012,15 to 19 minutes
2502702760,Auburn,B08303_006,1483,229,2012,20 to 24 minutes
2502702760,Auburn,B08303_007,285,84,2012,25 to 29 minutes
2502702760,Auburn,B08303_008,1002,210,2012,30 to 34 minutes
2502702760,Auburn,B08303_009,280,125,2012,35 to 39 minutes
2502702760,Auburn,B08303_010,342,108,2012,40 to 44 minutes
2502702760,Auburn,B08303_011,554,179,2012,45 to 59 minutes
2502702760,Auburn,B08303_012,595,152,2012,60 to 89 minutes
2502702760,Auburn,B08303_013,127,64,2012,90 or more minutes
2502702760,Auburn,B08303_002,315,99,2013,Less than 5 minutes
2502702760,Auburn,B08303_003,864,199,2013,5 to 9 minutes
2502702760,Auburn,B08303_004,1262,204,2013,10 to 14 minutes
2502702760,Auburn,B08303_005,1134,207,2013,15 to 19 minutes
2502702760,Auburn,B08303_006,1466,246,2013,20 to 24 minutes
2502702760,Auburn,B08303_007,343,114,2013,25 to 29 minutes
2502702760,Auburn,B08303_008,1014,222,2013,30 to 34 minutes
2502702760,Auburn,B08303_009,259,104,2013,35 to 39 minutes
2502702760,Auburn,B08303_010,319,110,2013,40 to 44 minutes
2502702760,Auburn,B08303_011,506,153,2013,45 to 59 minutes
2502702760,Auburn,B08303_012,596,131,2013,60 to 89 minutes
2502702760,Auburn,B08303_013,135,61,2013,90 or more minutes
2502702760,Auburn,B08303_002,287,93,2014,Less than 5 minutes
2502702760,Auburn,B08303_003,872,131,2014,5 to 9 minutes
2502702760,Auburn,B08303_004,1138,200,2014,10 to 14 minutes
2502702760,Auburn,B08303_005,1158,201,2014,15 to 19 minutes
2502702760,Auburn,B08303_006,1234,187,2014,20 to 24 minutes
2502702760,Auburn,B08303_007,437,119,2014,25 to 29 minutes
2502702760,Auburn,B08303_008,1152,211,2014,30 to 34 minutes
2502702760,Auburn,B08303_009,178,66,2014,35 to 39 minutes
2502702760,Auburn,B08303_010,335,94,2014,40 to 44 minutes
2502702760,Auburn,B08303_011,523,155,2014,45 to 59 minutes
2502702760,Auburn,B08303_012,657,144,2014,60 to 89 minutes
2502702760,Auburn,B08303_013,141,61,2014,90 or more minutes
2502702760,Auburn,B08303_002,229,81,2015,Less than 5 minutes
2502702760,Auburn,B08303_003,734,148,2015,5 to 9 minutes
2502702760,Auburn,B08303_004,1029,169,2015,10 to 14 minutes
2502702760,Auburn,B08303_005,1264,187,2015,15 to 19 minutes
2502702760,Auburn,B08303_006,1343,214,2015,20 to 24 minutes
2502702760,Auburn,B08303_007,460,109,2015,25 to 29 minutes
2502702760,Auburn,B08303_008,1057,203,2015,30 to 34 minutes
2502702760,Auburn,B08303_009,150,52,2015,35 to 39 minutes
2502702760,Auburn,B08303_010,388,104,2015,40 to 44 minutes
2502702760,Auburn,B08303_011,527,127,2015,45 to 59 minutes
2502702760,Auburn,B08303_012,633,122,2015,60 to 89 minutes
2502702760,Auburn,B08303_013,220,73,2015,90 or more minutes
